Mineral,Unit,All India/State,Reserves,Remaining Resources,Total Resources,,States,Total Resources(000'tonnes),Statewise,Mineralwise
Rock Phosphate,000’ tonnes,Rajasthan,38310537,57369569,95680.106,,,,47856541.45,312678.615
Rock Phosphate,000’ tonnes,Uttar Pradesh,0,25773444,25773.444,,,,1449058.444,312678.615
Rock Phosphate,000’ tonnes,Uttarakhand,0,24178386,24178.386,,,,1812760.711,312678.615
Rock salt,000’ tonnes,All India,0,16025,16025,,,,0,16025
Rock salt,000’ tonnes,Himachal Pradesh,0,16025,16025,,,,6243062.762,16025
Ruby,000’ tonnes,All India,0,5348.72,0.00534872,,,,0,0.00534872
Ruby,000’ tonnes,Odisha,0,5348.72,0.00534872,,,,12554496.83,0.00534872
Sapphire,000’ tonnes,All India,0,450,0.00045,,,,0,0.00045
Sapphire,000’ tonnes,Jammu & Kashmir,0,450,0.00045,,,,2712512.555,0.00045
Sillimanite,000’ tonnes,All India,6502115,63702027,70204.142,,,,0,70204.142
Sillimanite,000’ tonnes,Andhra Pradesh,2082,8788861,8790.943,,,,27501527.37,70204.142
Sillimanite,000’ tonnes,Assam,0,4604700,4604.7,,,,1500930.7,70204.142
Sillimanite,000’ tonnes,Jharkhand,0,83000,83,,,,6771702.271,70204.142
Sillimanite,000’ tonnes,Karnataka,0,982725,982.725,,,,65117874.93,70204.142
Sillimanite,000’ tonnes,Kerala,0,7144941,7144.941,,,,458635.4531,70204.142
Sillimanite,000’ tonnes,Madhya Pradesh,0,101600,101.6,,,,11494004.87,70204.142
Sillimanite,000’ tonnes,Maharashtra,203276,15580,218.856,,,,3414151.95,70204.142
Sillimanite,000’ tonnes,Meghalaya,0,55807,55.807,,,,17716412.36,70204.142
Sillimanite,000’ tonnes,Odisha,6156573,11500613,17657.186,,,,12554496.83,70204.142
Sillimanite,000’ tonnes,Rajasthan,0,819,0.819,,,,47856541.45,70204.142
Sillimanite,000’ tonnes,Tamil Nadu,140184,17320381,17460.565,,,,2412081.635,70204.142
Sillimanite,000’ tonnes,Uttar Pradesh,0,11450000,11450,,,,1449058.444,70204.142
Sillimanite,000’ tonnes,West Bengal,0,1653000,1653,,,,82660.73049,70204.142
Silver ore,000’ tonnes,All India,150443903,361510732,511954.635,,,,0,511954.635
Silver metal,000’ tonnes,All India,7171.94,22809.88,29.98182,,,,0,29.98182
Silver ore,000’ tonnes,Andhra Pradesh,0,16950000,16950,,,,27501527.37,511954.635
Silver metal,000’ tonnes,Andhra Pradesh,0,128.13,0.12813,,,,27501527.37,29.98182
Silver ore,000’ tonnes,Jharkhand,0,23840000,23840,,,,6771702.271,511954.635
Silver metal,000’ tonnes,Jharkhand,0,5.22,0.00522,,,,6771702.271,29.98182
Silver ore,000’ tonnes,Karnataka,12350000,383612,12733.612,,,,65117874.93,511954.635
Silver metal,000’ tonnes,Karnataka,2.95,3.4,0.00635,,,,65117874.93,29.98182
Silver ore,000’ tonnes,Madhya Pradesh,0,3216000,3216,,,,11494004.87,511954.635
Silver metal,000’ tonnes,Madhya Pradesh,0,159.86,0.15986,,,,11494004.87,29.98182
Silver ore,000’ tonnes,Maharashtra,0,235000,235,,,,3414151.95,511954.635
Silver metal,000’ tonnes,Maharashtra,0,0.23,0.00023,,,,3414151.95,29.98182
Silver ore,000’ tonnes,Meghalaya,0,880000,880,,,,17716412.36,511954.635
Silver metal,000’ tonnes,Meghalaya,0,19.8,0.0198,,,,17716412.36,29.98182
Silver ore,000’ tonnes,Odisha,0,1749500,1749.5,,,,12554496.83,511954.635
Silver metal,000’ tonnes,Odisha,0,64.91,0.06491,,,,12554496.83,29.98182
Silver ore,000’ tonnes,Rajasthan,138093903,309126997,447220.9,,,,47856541.45,511954.635
Silver metal,000’ tonnes,Rajasthan,7168.99,22190.5,29.35949,,,,47856541.45,29.98182
Silver ore,000’ tonnes,Sikkim,0,949623,949.623,,,,5287.79969,511954.635
Silver metal,000’ tonnes,Sikkim,0,56.69,0.05669,,,,5287.79969,29.98182
Silver ore,000’ tonnes,Tamil Nadu,0,790000,790,,,,2412081.635,511954.635
Silver metal,000’ tonnes,Tamil Nadu,0,42.55,0.04255,,,,2412081.635,29.98182
Silver ore,000’ tonnes,Uttarakhand,0,3390000,3390,,,,1812760.711,511954.635
Silver metal,000’ tonnes,Uttarakhand,0,138.59,0.13859,,,,1812760.711,29.98182
Sulphur (native),000’ tonnes,All India,0,210,210,,,,0,210
Sulphur (native),000’ tonnes,Jammu & Kashmir,0,210,210,,,,2712512.555,210
Tin ore,000’ tonnes,All India,4419,83720749,83725.168,,,,0,83725.168
Tin metal,000’ tonnes,All India,154.2,102259.16,102.41336,,,,0,102.41336
Tin ore,000’ tonnes,Chhattisgarh,4419,29795255,29799.674,,,,15883604.19,83725.168
Tin metal,000’ tonnes,Chhattisgarh,154.2,15470.95,15.62515,,,,15883604.19,102.41336
Tin ore,000’ tonnes,Haryana,0,53910000,53910,,,,163928.4086,83725.168
Tin metal,000’ tonnes,Haryana,0,86220.6,86.2206,,,,163928.4086,102.41336
Tin ore,000’ tonnes,Odisha,0,15494,15.494,,,,12554496.83,83725.168
Tin metal,000’ tonnes,Odisha,0,567.61,0.56761,,,,12554496.83,102.41336
Titanium,000’ tonnes,All India,14420716,399204829,413625.545,,,,0,413625.545
Titanium,000’ tonnes,Andhra Pradesh,0,76733874,76733.874,,,,27501527.37,413625.545
Titanium,000’ tonnes,Jharkhand,0,4385000,4385,,,,6771702.271,413625.545
Titanium,000’ tonnes,Karnataka,0,13862094,13862.094,,,,65117874.93,413625.545
Titanium,000’ tonnes,Kerala,0,128712668,128712.668,,,,458635.4531,413625.545
Titanium,000’ tonnes,Maharashtra,0,4426277,4426.277,,,,3414151.95,413625.545
Titanium,000’ tonnes,Meghalaya,0,3345000,3345,,,,17716412.36,413625.545
Titanium,000’ tonnes,Odisha,13719720,51759264,65478.984,,,,12554496.83,413625.545
Titanium,000’ tonnes,Tamil Nadu,700996,113701652,114402.648,,,,2412081.635,413625.545
Titanium,000’ tonnes,West Bengal,0,2279000,2279,,,,82660.73049,413625.545
Tungsten ore,000’ tonnes,All India,0,87387464,87387.464,,,,0,87387.464
Tungsten contained WO3,000’ tonnes,All India,0,142094.35,142.09435,,,,0,142.09435
Tungsten ore,000’ tonnes,Andhra Pradesh,0,14802300,14802.3,,,,27501527.37,87387.464
Tungsten contained WO3,000’ tonnes,Andhra Pradesh,0,20262.57,20.26257,,,,27501527.37,142.09435
Tungsten ore,000’ tonnes,Haryana,0,2230000,2230,,,,163928.4086,87387.464
Tungsten contained WO3,000’ tonnes,Haryana,0,3568,3.568,,,,163928.4086,142.09435
Tungsten ore,000’ tonnes,Karnataka,0,36677818,36677.818,,,,65117874.93,87387.464
Tungsten contained WO3,000’ tonnes,Karnataka,0,6235,6.235,,,,65117874.93,142.09435
Tungsten ore,000’ tonnes,Maharashtra,0,8077250,8077.25,,,,3414151.95,87387.464
Tungsten contained WO3,000’ tonnes,Maharashtra,0,16035,16.035,,,,3414151.95,142.09435
Tungsten ore,000’ tonnes,Rajasthan,0,23928294,23928.294,,,,47856541.45,87387.464
Tungsten contained WO3,000’ tonnes,Rajasthan,0,93707.94,93.70794,,,,47856541.45,142.09435
Tungsten ore,000’ tonnes,Tamil Nadu,0,250000,250,,,,2412081.635,87387.464
Tungsten contained WO3,000’ tonnes,Tamil Nadu,0,50,0.05,,,,2412081.635,142.09435
Tungsten ore,000’ tonnes,Uttarakhand,0,658000,658,,,,1812760.711,87387.464
Tungsten contained WO3,000’ tonnes,Uttarakhand,0,705,0.705,,,,1812760.711,142.09435
Tungsten ore,000’ tonnes,West Bengal,0,763802,763.802,,,,82660.73049,87387.464
Tungsten contained WO3,000’ tonnes,West Bengal,0,1530.84,1.53084,,,,82660.73049,142.09435
Vanadium ore,000’ tonnes,All India,0,24633855,24633.855,,,,0,24633.855
Vanadium contained V2O5,000’ tonnes,All India,0,64594.01,64.59401,,,,0,64.59401
Vanadium ore,000’ tonnes,Karnataka,0,19384430,19384.43,,,,65117874.93,24633.855
Vanadium contained V2O5,000’ tonnes,Karnataka,0,49497.55,49.49755,,,,65117874.93,64.59401
Vanadium ore,000’ tonnes,Maharashtra,0,384630,384.63,,,,3414151.95,24633.855
Vanadium contained V2O5,000’ tonnes,Maharashtra,0,1538.52,1.53852,,,,3414151.95,64.59401
Vanadium ore,000’ tonnes,Odisha,0,4864795,4864.795,,,,12554496.83,24633.855
Vanadium contained V2O5,000’ tonnes,Odisha,0,13557.94,13.55794,,,,12554496.83,64.59401
Vermiculite,000’ tonnes,All India,1632885,719582,2352.467,,,,0,2352.467
Vermiculite,000’ tonnes,Andhra Pradesh,110871,161195,272.066,,,,27501527.37,2352.467
Vermiculite,000’ tonnes,Gujarat,0,1960,1.96,,,,21789656.48,2352.467
Vermiculite,000’ tonnes,Jharkhand,0,30048,30.048,,,,6771702.271,2352.467
Vermiculite,000’ tonnes,Karnataka,0,133740,133.74,,,,65117874.93,2352.467
Vermiculite,000’ tonnes,Madhya Pradesh,0,329,0.329,,,,11494004.87,2352.467
Vermiculite,000’ tonnes,Rajasthan,0,43693,43.693,,,,47856541.45,2352.467
Vermiculite,000’ tonnes,Tamil Nadu,1522014,343051,1865.065,,,,2412081.635,2352.467
Vermiculite,000’ tonnes,West Bengal,0,5566,5.566,,,,82660.73049,2352.467
Wollastonite,000’ tonnes,All India,2241462,14227824,16469.286,,,,0,16469.286
Wollastonite,000’ tonnes,Gujarat,0,1990000,1990,,,,21789656.48,16469.286
Wollastonite,000’ tonnes,Rajasthan,2241462,12234291,14475.753,,,,47856541.45,16469.286
Wollastonite,000’ tonnes,Tamil Nadu,0,3533,3.533,,,,2412081.635,16469.286
Zircon,000’ tonnes,All India,1158290,2264913,3423.203,,,,0,3423.203
Zircon,000’ tonnes,Kerala,972624,1786483,2759.107,,,,458635.4531,3423.203
Zircon,000’ tonnes,Odisha,146085,342791,488.876,,,,12554496.83,3423.203
Zircon,000’ tonnes,Tamil Nadu,39581,135639,175.22,,,,2412081.635,3423.203
